season,team,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
2020,1,45,28.5,4.90,60,2308,2020,294,501,97,8,85,285,21,8,239,490,.248,.332,.430,.763,107,869,49,25,6,18,8,436
2020,2,45,29.1,4.48,60,2238,1997,269,482,101,12,58,255,23,7,181,461,.241,.312,.391,.704,90,781,37,36,1,23,5,402
2020,3,48,28.2,5.80,60,2344,2074,348,556,130,3,103,338,23,4,239,573,.268,.349,.483,.832,117,1001,39,23,1,7,13,446
2020,4,45,26.3,4.57,60,2242,2026,274,523,102,7,77,264,19,14,164,514,.258,.321,.429,.750,102,870,32,27,15,10,5,410
2020,5,47,27.0,4.87,60,2304,2083,292,552,118,7,81,278,31,9,187,545,.265,.330,.445,.775,104,927,51,21,4,9,8,429
2020,6,47,27.9,4.42,60,2214,1918,265,422,82,8,74,248,24,10,229,568,.220,.318,.387,.705,90,742,42,52,1,13,9,412
2020,7,48,27.6,5.10,60,2267,2047,306,534,94,6,96,294,20,8,179,571,.261,.326,.453,.779,112,928,44,24,1,13,1,400
2020,8,43,29.1,4.05,60,2123,1842,243,390,76,3,90,237,29,9,239,534,.212,.312,.403,.715,85,742,44,33,0,7,4,371
2020,9,39,27.9,4.13,60,2247,1959,248,446,96,5,59,234,25,10,239,517,.228,.317,.372,.689,88,729,40,24,7,16,4,412
2020,10,40,28.7,4.58,60,2257,2057,275,528,84,16,63,264,42,9,161,543,.257,.311,.405,.716,81,833,41,10,7,19,12,395
2020,11,45,27.5,4.29,58,2076,1893,249,463,78,12,62,242,19,6,147,567,.245,.303,.397,.700,91,751,42,19,1,14,1,337
2020,12,61,29.0,4.38,60,2167,1935,263,472,82,5,60,247,51,14,191,537,.244,.319,.384,.703,89,744,37,25,6,9,6,401
2020,13,43,29.2,4.65,60,2229,1992,279,478,103,12,69,268,22,11,192,440,.240,.312,.408,.720,95,812,39,23,6,13,5,400
2020,14,48,27.8,4.13,60,2200,1988,248,485,97,7,68,237,49,20,172,527,.244,.309,.402,.711,91,800,28,18,8,10,3,395
2020,15,38,28.0,5.82,60,2316,2042,349,523,97,6,118,327,29,8,228,471,.256,.338,.483,.821,119,986,46,30,3,12,7,401
2020,16,43,28.5,4.12,60,2188,1920,247,429,83,5,75,238,15,11,221,582,.223,.313,.389,.702,87,747,53,35,0,10,8,393
2020,17,43,28.7,4.48,60,2168,1937,269,468,81,3,91,258,14,7,186,528,.242,.315,.427,.743,104,828,38,29,2,14,9,378
2020,19,47,27.8,4.77,60,2279,2023,286,551,106,7,86,278,20,10,197,498,.272,.348,.459,.807,121,929,53,45,1,13,8,450
2020,20,43,28.5,5.25,60,2210,1915,315,473,87,7,94,301,27,7,251,480,.247,.342,.447,.789,118,856,51,30,1,11,5,409
2020,21,38,28.1,4.57,60,2201,1908,274,430,91,11,71,264,26,3,238,524,.225,.322,.396,.718,100,756,44,39,2,14,5,401
2020,22,46,28.5,5.10,60,2223,1948,306,500,90,10,82,289,35,8,229,480,.257,.342,.439,.781,109,856,40,28,8,10,16,425
2020,23,49,27.1,3.65,60,2134,1932,219,425,76,6,59,210,16,11,167,521,.220,.284,.357,.641,74,690,34,11,7,15,6,355
2020,24,47,26.7,5.42,60,2231,1972,325,506,103,12,95,312,55,13,204,479,.257,.333,.466,.798,120,918,37,28,12,14,6,368
2020,25,49,26.6,4.23,60,2181,1929,254,435,88,5,60,244,50,16,207,545,.226,.309,.370,.678,90,713,35,30,3,12,5,379
2020,26,45,29.8,4.98,60,2259,2019,299,532,107,14,81,290,19,8,195,499,.263,.335,.451,.785,115,910,51,27,4,13,8,411
2020,27,44,28.8,4.14,58,2011,1752,240,410,73,7,51,231,18,10,205,477,.234,.323,.371,.694,92,650,38,33,4,16,3,365
2020,28,43,27.1,4.82,60,2261,1975,289,470,105,12,80,274,48,9,243,608,.238,.328,.425,.753,111,839,38,28,0,14,9,424
2020,29,49,27.4,3.73,60,2147,1936,224,420,80,9,62,204,49,14,167,548,.217,.285,.364,.648,78,704,33,24,2,18,3,354
2020,30,49,25.9,5.03,60,2263,2023,302,516,104,4,88,288,33,6,203,508,.255,.325,.441,.766,108,892,39,12,8,14,4,404
2020,31,43,28.6,4.88,60,2218,1968,293,519,112,12,66,279,33,12,192,451,.264,.336,.433,.769,107,853,42,32,5,21,16,411
2021,1,64,29.2,4.46,162,6016,5437,723,1331,265,23,190,691,79,26,464,1394,0.245,0.31,0.407,0.717,93,2212,107,59,30,25,35,1029
2021,2,64,28.9,4.19,162,6144,5489,679,1297,308,31,144,644,43,16,537,1465,0.236,0.309,0.382,0.692,87,2099,99,54,32,28,24,1152
2021,3,56,28.2,4.91,161,6056,5363,790,1307,269,20,239,762,59,19,549,1453,0.244,0.319,0.435,0.754,98,2333,81,67,32,43,36,1072
2021,4,62,26.7,4.07,162,5983,5420,659,1296,266,15,195,632,54,23,451,1454,0.239,0.304,0.402,0.705,92,2177,105,65,14,31,12,1046
2021,5,56,28.0,5.12,162,6122,5495,829,1434,330,23,219,783,40,21,512,1386,0.261,0.328,0.449,0.777,106,2467,100,61,10,42,22,1093
2021,6,69,29.1,4.35,162,5972,5306,705,1255,225,26,210,672,86,37,502,1596,0.237,0.312,0.407,0.719,93,2162,133,92,40,30,17,1019
2021,7,47,28.0,4.91,162,6084,5357,796,1373,275,22,190,757,57,20,586,1389,0.256,0.336,0.422,0.758,106,2262,139,78,24,39,10,1125
2021,8,55,28.9,4.85,162,6162,5423,786,1352,295,13,222,756,36,24,553,1425,0.249,0.328,0.431,0.759,95,2339,129,105,35,45,22,1110
2021,9,48,26.7,4.43,162,5907,5332,717,1269,248,22,203,686,109,17,453,1387,0.238,0.303,0.407,0.71,94,2170,105,64,20,36,18,987
2021,10,45,28.1,4.59,161,6007,5374,739,1338,275,34,182,709,76,23,491,1356,0.249,0.317,0.414,0.731,86,2227,98,58,48,36,24,1074
2021,11,49,28.1,4.3,162,5979,5376,697,1299,236,37,179,675,88,25,490,1514,0.242,0.308,0.399,0.707,96,2146,113,44,17,50,8,1031
2021,12,61,28.2,3.85,162,5929,5348,623,1244,226,23,158,594,106,29,450,1553,0.233,0.298,0.372,0.671,81,1990,95,65,30,30,25,1042
2021,13,52,28.9,5.33,162,6291,5593,863,1496,299,14,221,834,53,16,569,1222,0.267,0.339,0.444,0.783,113,2486,136,64,9,54,25,1159
2021,14,48,29.3,4.23,162,5993,5427,686,1349,251,29,163,647,124,33,421,1258,0.249,0.306,0.396,0.702,90,2147,100,55,31,52,8,1050
2021,15,61,29.2,5.12,162,6239,5445,830,1330,247,24,237,799,65,17,613,1408,0.244,0.33,0.429,0.759,101,2336,96,104,32,45,36,1169
2021,16,61,28.7,4.56,162,6099,5362,738,1251,255,18,194,700,82,21,586,1465,0.233,0.317,0.396,0.713,92,2124,102,88,25,35,26,1113
2021,17,57,28.3,4.5,162,6078,5431,729,1311,271,17,228,690,54,15,525,1405,0.241,0.314,0.423,0.738,103,2300,122,70,7,42,17,1092
2021,19,64,28.2,3.93,162,5856,5210,636,1243,228,18,176,604,54,26,495,1392,0.239,0.315,0.391,0.705,93,2035,123,94,34,23,25,1099
2021,20,59,29.3,4.39,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,0.237,0.322,0.407,0.729,100,2169,154,63,10,34,14,1097
2021,21,50,30.1,4.59,162,6104,5395,743,1284,271,19,199,698,88,20,545,1349,0.238,0.317,0.406,0.723,102,2190,99,98,17,49,17,1084
2021,22,55,29.1,4.53,162,6089,5366,734,1288,262,24,198,700,77,19,564,1402,0.24,0.318,0.408,0.726,95,2192,103,67,47,43,37,1115
2021,23,64,27.5,3.76,162,5983,5336,609,1261,240,35,124,570,60,30,529,1328,0.236,0.309,0.364,0.673,82,1943,102,49,31,37,24,1128
2021,24,54,28.0,4.5,162,6119,5384,729,1305,273,21,180,695,110,39,586,1324,0.242,0.321,0.401,0.722,101,2160,121,61,36,46,42,1123
2021,25,63,27.0,4.3,162,6010,5355,697,1209,233,11,199,673,64,24,535,1492,0.226,0.303,0.385,0.688,92,2061,92,72,9,36,8,1040
2021,26,54,30.6,4.96,162,6196,5462,804,1360,271,25,241,768,66,14,602,1461,0.249,0.329,0.44,0.769,107,2404,117,64,36,30,45,1138
2021,27,51,28.5,4.36,162,6001,5351,706,1303,261,22,198,678,89,22,478,1341,0.244,0.313,0.412,0.725,99,2202,99,86,40,44,32,1081
2021,28,61,27.7,5.29,162,6213,5507,857,1336,288,36,222,810,88,42,585,1542,0.243,0.321,0.429,0.75,110,2362,75,72,6,41,27,1085
2021,29,54,26.8,3.86,162,5943,5405,625,1254,225,24,167,598,106,29,433,1381,0.232,0.294,0.375,0.67,83,2028,113,58,16,31,10,1007
2021,30,62,26.8,5.22,162,6070,5476,846,1455,285,13,262,816,81,20,496,1218,0.266,0.33,0.466,0.797,113,2552,112,51,10,35,14,1056
2021,31,60,28.7,4.47,162,6113,5385,724,1388,272,20,182,686,56,26,573,1303,0.258,0.337,0.417,0.754,107,2246,158,84,38,31,43,1185
2022,1,66,27.9,3.85,162,5977,5423,623,1265,219,31,190,600,77,27,449,1539,0.233,0.297,0.39,0.687,94,2116,95,54,25,25,28,1050
2022,2,57,26.5,4.33,162,6027,5351,702,1232,262,24,173,658,104,29,531,1341,0.23,0.304,0.385,0.689,95,2061,97,60,31,50,14,1039
2022,3,53,27.5,4.87,162,6082,5509,789,1394,298,11,243,753,87,31,470,1498,0.253,0.317,0.443,0.761,111,2443,103,66,1,36,13,1030
2022,4,58,27.0,4.16,162,6049,5429,674,1281,275,25,171,639,95,31,476,1390,0.236,0.305,0.39,0.695,97,2119,95,83,12,43,10,1095
2022,5,54,28.8,4.54,162,6144,5539,735,1427,352,12,155,704,52,20,478,1373,0.258,0.321,0.409,0.731,102,2268,131,63,12,50,23,1133
2022,6,64,27.9,4.06,162,6072,5425,657,1293,265,31,159,620,111,37,507,1448,0.238,0.311,0.387,0.698,96,2097,130,84,19,36,16,1100
2022,7,44,29.3,4.23,162,6123,5611,686,1435,272,9,149,654,58,10,388,1269,0.256,0.31,0.387,0.698,97,2172,127,73,16,35,9,1117
2022,8,66,29.4,4.0,162,5978,5380,648,1264,235,18,156,618,58,33,452,1430,0.235,0.304,0.372,0.676,83,2003,127,92,12,33,6,1020
2022,9,50,25.9,4.31,162,6163,5558,698,1410,273,31,127,662,119,27,450,1122,0.254,0.316,0.383,0.699,102,2126,115,81,22,52,36,1156
2022,10,43,29.1,4.31,162,6105,5540,698,1408,280,34,149,669,45,20,453,1330,0.254,0.315,0.398,0.713,90,2203,139,61,10,40,10,1113
2022,11,53,27.9,3.44,162,5870,5378,557,1240,235,27,110,530,47,24,380,1413,0.231,0.286,0.346,0.632,84,1859,108,58,10,44,8,1015
2022,12,56,28.8,3.62,162,5949,5395,586,1241,248,20,144,554,122,29,436,1429,0.23,0.294,0.363,0.658,86,1961,120,70,4,36,6,1045
2022,13,45,29.3,4.55,162,6054,5409,737,1341,284,13,214,715,83,22,528,1179,0.248,0.319,0.424,0.743,111,2293,118,60,9,42,18,1068
2022,14,55,27.1,3.95,162,6010,5437,640,1327,247,38,138,613,104,34,460,1287,0.244,0.306,0.38,0.686,93,2064,101,48,20,44,7,1091
2022,15,51,29.6,5.23,162,6247,5526,847,1418,325,31,212,812,98,18,607,1374,0.257,0.333,0.442,0.775,112,2441,85,56,3,53,22,1159
2022,16,51,29.1,4.48,162,6122,5417,725,1271,251,17,219,703,96,30,577,1464,0.235,0.315,0.409,0.724,105,2213,117,80,11,37,25,1102
2022,17,61,26.9,4.3,162,6113,5476,696,1356,269,18,178,668,38,17,518,1353,0.248,0.317,0.401,0.718,107,2195,133,62,10,46,11,1126
2022,19,61,29.7,4.77,162,6176,5489,772,1422,272,27,171,735,62,22,510,1217,0.259,0.332,0.412,0.744,113,2261,122,112,20,44,25,1158
2022,20,54,30.2,4.98,162,6172,5422,807,1308,225,8,254,764,102,33,620,1391,0.241,0.325,0.426,0.751,113,2311,121,70,14,41,36,1093
2022,21,64,28.3,3.51,162,5863,5314,568,1147,249,15,137,537,78,23,433,1389,0.216,0.281,0.346,0.626,82,1837,109,59,22,33,7,969
2022,22,56,28.1,4.61,162,6077,5496,747,1392,255,29,205,719,105,28,478,1363,0.253,0.317,0.422,0.739,107,2320,116,52,6,44,15,1075
2022,23,68,26.3,3.65,162,5912,5331,591,1186,221,29,158,555,89,32,476,1497,0.222,0.291,0.364,0.655,84,1939,96,54,19,32,14,1016
2022,24,55,28.2,4.35,162,6175,5468,705,1317,275,18,153,682,49,22,574,1327,0.241,0.318,0.382,0.7,104,2087,95,65,17,46,24,1174
2022,25,59,27.5,4.26,162,6117,5375,690,1236,229,19,197,663,83,27,596,1397,0.23,0.315,0.39,0.704,106,2094,120,89,9,45,17,1129
2022,26,66,30.0,4.42,162,6117,5392,716,1261,255,18,183,683,64,16,571,1462,0.234,0.315,0.39,0.705,98,2101,109,95,6,53,14,1115
2022,27,51,28.8,4.77,162,6165,5496,772,1386,290,21,197,739,95,25,537,1226,0.252,0.325,0.42,0.745,114,2309,112,80,5,45,11,1132
2022,28,61,27.0,4.11,162,6008,5412,666,1294,296,17,139,634,95,37,500,1395,0.239,0.309,0.377,0.686,100,2041,93,57,7,31,13,1074
2022,29,55,28.0,4.36,162,6029,5478,707,1308,224,20,198,670,128,41,456,1446,0.239,0.301,0.395,0.696,98,2166,82,47,10,38,12,1007
2022,30,51,27.1,4.78,162,6158,5555,775,1464,307,12,200,756,67,35,500,1242,0.264,0.329,0.431,0.76,116,2395,136,55,8,33,13,1111
2022,31,55,28.7,3.72,162,5998,5434,603,1351,252,20,136,579,75,31,442,1221,0.249,0.31,0.377,0.688,99,2051,141,60,20,37,12,1099
